Product_name,Processor,Graphics adapter,Memory,Display,Storage,Size,Battery,Camera,Weight,Price,URL_link
Lenovo Yoga 6 13 82ND0009US (Yoga 6 13 Series),"AMD Ryzen 5 5500U 6 x 2.1 - 4 GHz, 21 W PL2 / Short Burst, 18 W PL1 / Sustained, Lucienne U (Zen 2)","AMD Radeon RX Vega 7 - 512 MB, Memory: 1333 MHz, 27.20.14040.4","8192 MB  , 1600 MHz, 22-22-22-52, Dual-Channel, Soldered","13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, 10-point capacitive, native pen support, AU Optronics B133HAN05.F, IPS, AUO5F2D, glossy: yes, 60 Hz","WDC PC SN530 SDBPMPZ-265G, 256 GB  ",height x width x depth (in mm): 18.2 x 308 x 206.4 ( = 0.72 x 12.13 x 8.13 in),60 Wh Lithium-Polymer,Webcam: 720pPrimary Camera: 0.9 MPix,"1.331 kg ( = 46.95 oz / 2.93 pounds), Power Supply: 272 g ( = 9.59 oz / 0.6 pounds)",800 USD,https://www.notebookcheck.net/Lenovo-Yoga-6-13-Convertible-Review-Laptops-Have-Clothes-and-Fabric-Now.550259.0.html
Asus ZenBook Flip 13 UX363EA-HP069T (ZenBook Flip 13 Series),"Intel Core i7-1165G7 4 x 2.8 - 4.7 GHz, 51 W PL2 / Short Burst, 15 W PL1 / Sustained, Tiger Lake UP3","Intel Iris Xe Graphics G7 96EUs, Memory: 1300 MHz, 27.20.100.8984 DCH","16384 MB  , LPDDR4-4266, soldered","13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, multitouch, native pen support, Samsung, SDC414A, OLED, glossy: yes, 60 Hz","WDC PC SN730 SDBPNTY-1T00, 1024 GB  , 950 GB free",height x width x depth (in mm): 13 x 305 x 211 ( = 0.51 x 12.01 x 8.31 in),"67 Wh, 4220 mAh Lithium-Ion",Webcam: HDPrimary Camera: 0.9 MPixSecondary Camera: IR,"1.188 kg ( = 41.91 oz / 2.62 pounds), Power Supply: 210 g ( = 7.41 oz / 0.46 pounds)","1,799 EUR",https://www.notebookcheck.net/Asus-ZenBook-Flip-13-in-review-Compact-convertible-with-great-OLED-display.550248.0.html
Medion Erazer Beast X20 (Erazer Series),"Intel Core i7-10870H 8 x 2.2 - 5 GHz, 60 W PL2 / Short Burst, 60 W PL1 / Sustained, Comet Lake-H","NVIDIA GeForce RTX 3070 Laptop GPU - 8192 MB, Core: 1560 MHz, Memory: 1750 MHz, 140 W TDP, 27.21.14.6677, Optimus","32768 MB  , DDR4-3200, Dual-Channel-Mode, two memory slots (both in use)","17.30 inch 16:9, 2560 x 1440 pixel 170 PPI, BOE CQ NE173QHM-NY2, IPS, glossy: no, 165 Hz","Phison E12S-2TB-Phison-SSD-BICS4, 2048 GB  , 2 M.2-2280-Slots (NVMe), 1770 GB free",height x width x depth (in mm): 23 x 395 x 262 ( = 0.91 x 15.55 x 10.31 in),"91 Wh, 7900 mAh Lithium-Polymer",Webcam: HDPrimary Camera: 0.9 MPix,"2.246 kg ( = 79.23 oz / 4.95 pounds), Power Supply: 500 g ( = 17.64 oz / 1.1 pounds)",2299 Euro,https://www.notebookcheck.net/Medion-Erazer-Beast-X20-Tongfang-GM7MG7P-in-review-Thin-gaming-notebook-with-good-battery-runtimes.550029.0.html
Razer Blade 15 Advanced Model Core i7-11800H (Blade 15 Series),"Intel Core i7-11800H 8 x 2.3 - 4.6 GHz, 160 W PL2 / Short Burst, 65 W PL1 / Sustained, Tiger Lake H45","NVIDIA GeForce RTX 3080 Laptop GPU, Core: 1245 MHz, Memory: 1500 MHz, 105 W TDP, GDDR6, 471.11, Optimus and manual","32768 MB  , Samsung DDR4-3200, 22-22-22-52, Dual-Channel","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, TL156VDXP02-0, IPS, 360 Hz","SSSTC CA6-8D1024, 1024 GB  ",height x width x depth (in mm): 16.99 x 355 x 235 ( = 0.67 x 13.98 x 9.25 in),80 Wh,Webcam: FHDPrimary Camera: 2 MPix,"2.026 kg ( = 71.47 oz / 4.47 pounds), Power Supply: 617 g ( = 21.76 oz / 1.36 pounds)",3100 USD,https://www.notebookcheck.net/Razer-Blade-15-Advanced-Model-11th-Gen-Intel-2021-Review-Small-Changes-Big-CPU-Gains.548802.0.html
Samsung Galaxy Book NP750XDA (Galaxy Book Series),"Intel Core i5-1135G7 4 x 2.4 - 4.2 GHz, 32 W PL2 / Short Burst, 31.5 W PL1 / Sustained, Tiger Lake UP3","Intel Iris Xe Graphics G7 80EUs, Core: 1300 MHz, Memory: 1600 MHz","8192 MB  , Dual-Channel","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, CEC PANDA LM156LF5L03, IPS, glossy: no","Lite-On CL1-8D512, 512 GB  , 450 GB free",height x width x depth (in mm): 16 x 357 x 230 ( = 0.63 x 14.06 x 9.06 in),54 Wh Lithium-Ion,"Webcam: 0.9 MP, 16:9 (1280x720)","1.6 kg ( = 56.44 oz / 3.53 pounds), Power Supply: 190 g ( = 6.7 oz / 0.42 pounds)",900 Euro,https://www.notebookcheck.net/Galaxy-Book-2021-in-review-The-affordable-Samsung-notebook-for-office-users.549172.0.html
Lenovo ThinkPad X13 G2 20WK0024GE (ThinkPad X13 Series),"Intel Core i7-1165G7 4 x 2.8 - 4.7 GHz, 50 W PL2 / Short Burst, 30 W PL1 / Sustained, Tiger Lake UP3","Intel Iris Xe Graphics G7 96EUs, Core: 1300 MHz, Memory: 2000 MHz","16384 MB  , LPDDR4X-4266, Dual-Channel, soldered","13.30 inch 16:10, 1920 x 1200 pixel 170 PPI, NV133WUM-N61, IPS, glossy: no, 60 Hz","SK Hynix HFS512 GDE9X081N, 512 GB  , 433 GB free",height x width x depth (in mm): 18.2 x 305.8 x 217.1 ( = 0.72 x 12.04 x 8.55 in),"54.7 Wh, 3564 mAh Lithium-Polymer",Webcam: 1080pPrimary Camera: 2 MPix,"1.339 kg ( = 47.23 oz / 2.95 pounds), Power Supply: 365 g ( = 12.88 oz / 0.8 pounds)",1800 Euro,https://www.notebookcheck.net/Lenovo-ThinkPad-X13-G2-Review-The-perfect-mobile-companion.549308.0.html
Dell Latitude 9420 2-in-1 (Latitude Series),"Intel Core i7-1185G7 4 x 3 - 4.8 GHz, 64 W PL2 / Short Burst, 15 W PL1 / Sustained, Tiger Lake UP3","Intel Iris Xe Graphics G7 96EUs, Core: 1350 MHz, Memory: 1600 MHz, DDR4, 27.20.100.9565","16384 MB  , LPDDR4x 4266 MHz, 36-39-39-90, Soldered","14.00 inch 16:10, 2560 x 1600 pixel 216 PPI, 10-point capacitive, native pen support, AU Optronics B140QAN, IPS, Dell P/N: 5NW15, AUOD991, glossy: yes, 60 Hz","WDC PC SN530 SDBPNPZ-512G, 512 GB  ",height x width x depth (in mm): 13.91 x 310.59 x 215.18 ( = 0.55 x 12.23 x 8.47 in),60 Wh Lithium-Polymer,Webcam: 720pPrimary Camera: 0.9 MPix,"1.497 kg ( = 52.81 oz / 3.3 pounds), Power Supply: 346 g ( = 12.2 oz / 0.76 pounds)",2700 USD,https://www.notebookcheck.net/Dell-Latitude-9420-2-in-1-Convertible-Review-Totally-Better-Than-The-Latitude-9410.548439.0.html
Honor MagicBook 15 i5 1135G7 (Magicbook Series),"Intel Core i5-1135G7 4 x 2.4 - 4.2 GHz, 38 W PL2 / Short Burst, 20 W PL1 / Sustained, Tiger Lake UP3","Intel Iris Xe Graphics G7 80EUs, Core: 1300 MHz, Memory: 1200 MHz","16384 MB  , DDR4-3200, Dual-Channel, soldered","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, BOE TV156FHM-NH2, IPS, glossy: no, 60 Hz","WDC PC SN730 SDBPNTY-512G, 512 GB  , 410 GB free",height x width x depth (in mm): 17 x 358 x 230 ( = 0.67 x 14.09 x 9.06 in),"42 Wh, 3665 mAh Lithium-Polymer",Webcam: 720pPrimary Camera: 0.9 MPix,"1.521 kg ( = 53.65 oz / 3.35 pounds), Power Supply: 197 g ( = 6.95 oz / 0.43 pounds)",949 Euro,https://www.notebookcheck.net/Honor-MagicBook-15-2021-Review-The-switch-to-Intel-is-unnecessarily-expensive.548795.0.html
Chuwi CoreBook X (CoreBook Series),"Intel Core i5-8259U 4 x 2.3 - 3.8 GHz, 64 W PL2 / Short Burst, 28 W PL1 / Sustained, Coffee Lake-U","Intel Iris Plus Graphics 655, Core: 1050 MHz, Memory: 1200 MHz, DDR4, 27.20.100.9466","8192 MB  , 1200 MHz, 10-10-10-28, DDR4, Soldered, Single-Channel","14.00 inch 3:2, 2160 x 1440 pixel 185 PPI, Chi Mei P140ZKA-BZ1, IPS, CMN8C03, glossy: yes, 60 Hz","Kingston RBUSNS8154P3512GJ, 512 GB  ",height x width x depth (in mm): 20.6 x 310 x 229.5 ( = 0.81 x 12.2 x 9.04 in),46.2 Wh Lithium-Polymer,Webcam: 720pPrimary Camera: 0.9 MPix,"1.495 kg ( = 52.73 oz / 3.3 pounds), Power Supply: 218 g ( = 7.69 oz / 0.48 pounds)",540 USD,https://www.notebookcheck.net/Chuwi-CoreBook-X-Laptop-Review-Like-a-Huawei-MateBook-But-Cheaper.548269.0.html
Asus ROG Zephyrus M16 GU603H,"Intel Core i9-11900H 8 x 2.5 - 4.9 GHz, 90 W PL2 / Short Burst, 30 W PL1 / Sustained, Tiger Lake H45","NVIDIA GeForce RTX 3070 Laptop GPU - 8192 MB, Core: 1290 MHz, Memory: 1500 MHz, 100 W TDP, NVIDIA 462.13, Intel UHD Graphics Xe 750 32EUs","32768 MB  , Dual-Channel","16.00 inch 16:10, 2560 x 1600 pixel 189 PPI, AU Optronics AUOC199, IPS, glossy: no, 165 Hz","Samsung PM9A1 MZVL22T0HBLB, 2048 GB  ",height x width x depth (in mm): 20 x 355 x 243 ( = 0.79 x 13.98 x 9.57 in),90 Wh Lithium-Ion,"Webcam: 0.9 MP, 16:9 (1280x720)","2.048 kg ( = 72.24 oz / 4.52 pounds), Power Supply: 550 g ( = 19.4 oz / 1.21 pounds)",3000 Euro,https://www.notebookcheck.net/Asus-ROG-Zephyrus-M16-Gaming-Laptop-Review-Gaming-in-16-10.548332.0.html
MSI Katana GF76 11UE,"Intel Core i7-11800H 8 x 2.3 - 4.6 GHz, 62 W PL2 / Short Burst, 44 W PL1 / Sustained, Tiger Lake H45","NVIDIA GeForce RTX 3060 Laptop GPU - 6144 MB, Core: 1425 MHz, Memory: 1750 MHz, 85 W TDP, GDDR6, 466.63, Optimus","16384 MB  , DDR4-3200 SDRAM","17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, AU Optronics B173HAN04.9, IPS, glossy: no, 144 Hz","Kingston OM8PCP3512F-AB, 512 GB  , 512 GB",height x width x depth (in mm): 25.2 x 398 x 273 ( = 0.99 x 15.67 x 10.75 in),53 Wh Lithium-Ion,Webcam: 720pPrimary Camera: 0.9 MPix HD webcam,"2.718 kg ( = 95.87 oz / 5.99 pounds), Power Supply: 490 g ( = 17.28 oz / 1.08 pounds)","1,599 Euro",https://www.notebookcheck.net/MSI-Katana-GF76-review-Gaming-laptop-with-room-for-improvement.548109.0.html
Asus Zephyrus G14 GA401QM (Zephyrus G14 GA401 Series),"AMD Ryzen 9 5900HS 8 x 3.3 - 4.6 GHz, 80 W PL2 / Short Burst, 80 W PL1 / Sustained, Cezanne H (Zen 3)","NVIDIA GeForce RTX 3060 Laptop GPU - 6144 MB, Core: 1382 MHz, Memory: 1530 MHz, 80 W TDP, GDDR6, 471.11, Optimus","16384 MB  , DDR4, 22-22-22-52, Dual-Channel","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, LM140LF-1F02, IPS, Adaptive Sync, NCP005E, glossy: no, 144 Hz","SK Hynix HFM001TD3JX013N, 1024 GB  ",height x width x depth (in mm): 19.9 x 324 x 222 ( = 0.78 x 12.76 x 8.74 in),"76 Wh Lithium-Polymer, 4-cell",,"1.68 kg ( = 59.26 oz / 3.7 pounds), Power Supply: 545 g ( = 19.22 oz / 1.2 pounds)",1700 USD,https://www.notebookcheck.net/Asus-Zephyrus-G14-GA401QM-Laptop-Review-AMD-Still-Rules-The-14-inch-Gaming-Space.547502.0.html
Acer Spin 3 SP313-51N-56YV,"Intel Core i5-1135G7 4 x 2.4 GHz, 64 W PL2 / Short Burst, 28 W PL1 / Sustained, Tiger Lake UP3","Intel Iris Xe Graphics G7 80EUs, Core: 1300 MHz, Memory: 2000 MHz, DDR4","16384 MB  , Quad-Channel","13.30 inch 16:10, 2560 x 1600 pixel 226 PPI, 10-point capacitive, native pen support, AU Optronics AUOB493, IPS, glossy: yes, 60 Hz","Kingston OM8PCP3512F-AB, 512 GB  , 470 GB free",height x width x depth (in mm): 16 x 300 x 220 ( = 0.63 x 11.81 x 8.66 in),"48 Wh, 4800 mAh Lithium-Ion, Battery runtime (according to manufacturer): 12 h",Webcam: 1080p FHD,"1.407 kg ( = 49.63 oz / 3.1 pounds), Power Supply: 290 g ( = 10.23 oz / 0.64 pounds)",999 EUR,https://www.notebookcheck.net/Acer-Spin-3-SP313-51N-convertible-in-review-A-good-all-rounder-with-weaknesses.548049.0.html
Asus TUF Gaming F17 FX706HM,"Intel Core i9-11900H 8 x 2.5 - 4.9 GHz, 105 W PL2 / Short Burst, 80 W PL1 / Sustained, Tiger Lake H45","NVIDIA GeForce RTX 3060 Laptop GPU - 6144 MB, 95 W TDP, Geforce 462.42, Otimus","16384 MB  , 2x 8 GB DDR4-3200, 1,600 MHz","17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, AU Optronics AUI8294 (B173HAN04.9), IPS, glossy: no, 144 Hz","SK Hynix HFM001TD3JX013N, 1024 GB  , 860 GB free",height x width x depth (in mm): 26 x 399 x 269 ( = 1.02 x 15.71 x 10.59 in),"90 Wh Lithium-Ion, Battery runtime (according to manufacturer): 14.3 h",Webcam: 720p HD cameraPrimary Camera: 0.9 MPix,"2.65 kg ( = 93.48 oz / 5.84 pounds), Power Supply: 590 g ( = 20.81 oz / 1.3 pounds)",,https://www.notebookcheck.net/Asus-TUF-Gaming-F17-laptop-review-Good-gaming-device-with-RTX-3060-but-average-display-despite-144-Hz.547469.0.html
Asus TUF Gaming F15 FX506HM,"Intel Core i7-11800H 8 x 2.3 - 4.6 GHz, 105 W PL2 / Short Burst, 80 W PL1 / Sustained, Tiger Lake H45","NVIDIA GeForce RTX 3060 Laptop GPU - 6144 MB, Core: 1425 MHz, Memory: 1750 MHz, 95 W TDP, GDDR6, 466.77, Optimus","16384 MB  , DDR4-3200, 15-15-15-35, Dual-Channel, 2x SODIMM","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, Chi Mei N156HRA-EA1, IPS, CMN1521, glossy: no, 144 Hz","SK Hynix HFM001TD3JX013N, 1024 GB  ",height x width x depth (in mm): 24.9 x 359 x 256 ( = 0.98 x 14.13 x 10.08 in),90 Wh Lithium-Polymer,Webcam: 720pPrimary Camera: 0.9 MPix,"2.269 kg ( = 80.04 oz / 5 pounds), Power Supply: 546 g ( = 19.26 oz / 1.2 pounds)",,https://www.notebookcheck.net/Asus-TUF-Gaming-F15-FX506HM-Laptop-Review-No-Extras-Just-Performance.546842.0.html
Aorus 17G YD (17G Series),"Intel Core i7-11800H 8 x 2.3 - 4.6 GHz, 109 W PL2 / Short Burst, 45 W PL1 / Sustained, Tiger Lake H45","NVIDIA GeForce RTX 3080 Laptop GPU - 16384 MB, Core: 1245 MHz, Memory: 1500 MHz, 105 W TDP, GDDR6, 27.21.14.6647, Optimus","32768 MB  , DDR4-3200, dual-channel mode, two memory slots (both in use)","17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, Sharp LQ173M1JW04, IPS, glossy: no, 300 Hz","Samsung PM9A1 MZVL2512HCJQ, 512 GB  , 2 M.2-2280 slots (1x PCIe 4, 1x PCIe 3/SATA), 399 GB free",height x width x depth (in mm): 26 x 405 x 276 ( = 1.02 x 15.94 x 10.87 in),"99 Wh, 6514 mAh Lithium-Polymer",Webcam: HDPrimary Camera: 0.9 MPix,"2.82 kg ( = 99.47 oz / 6.22 pounds), Power Supply: 735 g ( = 25.93 oz / 1.62 pounds)","2,298 Euro",https://www.notebookcheck.net/Aorus-17G-YD-in-review-Loud-gaming-laptop-with-a-good-mechanical-keyboard.547267.0.html
Alienware m15 R5 Ryzen Edition (m15 Series),"AMD Ryzen 7 5800H 8 x 3.2 - 4.4 GHz, 65 W PL2 / Short Burst, 54 W PL1 / Sustained, Cezanne H (Zen 3)","NVIDIA GeForce RTX 3060 Laptop GPU - 6144 MB, Core: 1875 MHz, Memory: 1750 MHz, 125 W TDP, 462.54, Optimus","16384 MB  , DDR4-3200, Dual-Channel, 2 Slots, max. 64 GB","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, B156HAN, IPS, glossy: no, 165 Hz","Toshiba KBG40ZNS512G NVMe, 512 GB  , 400 GB free",height x width x depth (in mm): 22.85 x 356.2 x 272.5 ( = 0.9 x 14.02 x 10.73 in),"86 Wh, 7167 mAh Lithium-Ion",Webcam: 720pPrimary Camera: 0.9 MPix,"2.459 kg ( = 86.74 oz / 5.42 pounds), Power Supply: 778 g ( = 27.44 oz / 1.72 pounds)",1750 Euro,https://www.notebookcheck.net/Alienware-m15-R5-Ryzen-Edition-Laptop-Review-More-performance-for-less-money.547214.0.html
Razer Blade 14 Ryzen 9 RTX 3070 (Blade Series),"AMD Ryzen 9 5900HX 8 x 3.3 - 4.6 GHz, 90 W PL2 / Short Burst, 75 W PL1 / Sustained, Cezanne H (Zen 3)","NVIDIA GeForce RTX 3070 Laptop GPU - 8192 MB, Core: 1290 MHz, Memory: 1600 MHz, 100 W TDP, GDDR6, 466.77","16384 MB  , DDR4-3200, Soldered","14.00 inch 16:9, 2560 x 1440 pixel 210 PPI, TL140BDXP02-2, IPS, glossy: no, 165 Hz","Samsung PM981a MZVLB1T0HBLR, 1024 GB  ",height x width x depth (in mm): 16.8 x 319.7 x 220 ( = 0.66 x 12.59 x 8.66 in),62 Wh Lithium-Polymer,Webcam: 720pPrimary Camera: 0.9 MPix,"1.767 kg ( = 62.33 oz / 3.9 pounds), Power Supply: 801 g ( = 28.25 oz / 1.77 pounds)",2200 USD,https://www.notebookcheck.net/Razer-Blade-14-Ryzen-9-Laptop-Review-Blade-Pro-17-Performance-At-Half-The-Size.546754.0.html
MSI Modern 15 A11M-062 (Modern 15 Series),"Intel Core i7-1165G7 4 x 2.8 - 4.7 GHz, 64 W PL2 / Short Burst, 45 W PL1 / Sustained, Tiger Lake UP3",Intel Iris Xe Graphics G7 96EUs,"8192 MB  , single-channel","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, AU Optronics B156HW02, IPS, glossy: no","Kingston OM8PCP3512F-AB, 512 GB  , 480 GB free",height x width x depth (in mm): 17 x 357 x 234 ( = 0.67 x 14.06 x 9.21 in),52 Wh Lithium-Polymer,"Webcam: 0.9 MP, 16:9 (1280x720)","1.6 kg ( = 56.44 oz / 3.53 pounds), Power Supply: 280 g ( = 9.88 oz / 0.62 pounds)","1,300 Euro",https://www.notebookcheck.net/MSI-Modern-15-A11M-in-review-Slim-office-laptop-offers-strong-keyboard-backlighting.546878.0.html
Infinix INBook X1 Pro,"Intel Core i7-1065G7 4 x 1.3 - 3.9 GHz, 61 W PL2 / Short Burst, 25 W PL1 / Sustained, Ice Lake U","Intel Iris Plus Graphics G7 (Ice Lake 64 EU), Core: 1100 MHz, Memory: 1800 MHz, DDR4, 27.20.100.9466","16384 MB  , LPDDR4X 3200 MHz, Dual-Channel","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, BOE NV140FHM-N62, IPS, glossy: no, 60 Hz","Phison C-E80T512G4-P3D3B3E13, 500 GB  ",height x width x depth (in mm): 16.3 x 323.5 x 219.5 ( = 0.64 x 12.74 x 8.64 in),55 Wh Lithium-Polymer,Webcam: 720pPrimary Camera: 0.9 MPix,"1.461 kg ( = 51.54 oz / 3.22 pounds), Power Supply: 254 g ( = 8.96 oz / 0.56 pounds)",,https://www.notebookcheck.net/Infinix-INBook-X1-Pro-Laptop-Review-Surprisingly-Solid-All-Around.545949.0.html
Xiaomi RedmiBook Pro 15,"Intel Core i7-11370H 4 x 3.3 - 4.8 GHz, 65 W PL2 / Short Burst, 28 W PL1 / Sustained, Tiger Lake H35","NVIDIA GeForce MX450 - 2048 MB, Core: 1575 MHz, Memory: 1751 MHz, Optimus","16384 MB  , dual-channel 3200 MHz","15.60 inch 16:10, 3200 x 2000 pixel 242 PPI, no touchscreen, IPS, glossy: no, 90 Hz","Toshiba KBG40ZNV512G, 512 GB  ",height x width x depth (in mm): 16 x 351 x 242 ( = 0.63 x 13.82 x 9.53 in),"70 Wh, 4545 mAh Lithium-Polymer",Webcam: yesPrimary Camera: 0.9 MPix webcam,"1.745 kg ( = 61.55 oz / 3.85 pounds), Power Supply: 255 g ( = 8.99 oz / 0.56 pounds)",,https://www.notebookcheck.net/Xiaomi-RedmiBook-Pro-15-2021-in-review-Affordable-laptop-with-strong-features.545905.0.html
Asus VivoBook Flip 14 TP470EZ (VivoBook Flip 14 Series),"Intel Core i5-1135G7 4 x 2.4 - 4.2 GHz, 64 W PL2 / Short Burst, 20 W PL1 / Sustained, Tiger Lake UP3","Intel Iris Xe MAX Graphics - 4096 MB, Core: 1,600 MHz MHz, Memory: 2,133 MHz, LPDDR4X, 27.20.100.9466, Switchable","8192 MB  , Quad-Channel LPDDR4X 4,266 MHz, Timings 36-39-39-90","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, Multitouch, native pen support, Chi Mei CMN N140HCA-EAC, IPS, glossy: yes, 60 Hz","Intel SSD 660p SSDPEKNW512G8, 512 GB  , 436 GB free",height x width x depth (in mm): 18.7 x 324 x 220 ( = 0.74 x 12.76 x 8.66 in),"42 Wh Lithium-Polymer, 3-cell, Battery runtime (according to manufacturer): 10 h",Webcam: 720p,1.5 kg ( = 52.91 oz / 3.31 pounds) ( = 0 oz / 0 pounds),831 Euro,https://www.notebookcheck.net/Asus-VivoBook-Flip-14-TP470EZ-Convertible-Review-A-good-all-rounder-with-Iris-Xe-Max-as-its-Achilles-heel.512380.0.html
Schenker XMG Neo 15 Tiger Lake (XMG Neo 15 Series),"Intel Core i7-11800H 8 x 2.3 - 4.6 GHz, 120 W PL2 / Short Burst, 120 W PL1 / Sustained, Tiger Lake H45","NVIDIA GeForce RTX 3080 Laptop GPU - 16384 MB, Core: 1605 MHz, Memory: 1750 MHz, 165 W TDP, GDDR6, 462.42, Optimus","32768 MB  , DDR4-3200, dual-channel","15.60 inch 16:9, 2560 x 1440 pixel 188 PPI, BOE CQ NE156QHM-NY2, IPS, glossy: no, 165 Hz","Samsung SSD 980 Pro 1TB MZ-V8P1T0BW, 1024 GB  ",height x width x depth (in mm): 26 x 359.8 x 243 ( = 1.02 x 14.17 x 9.57 in),"93 Wh, 8200 mAh Lithium-Polymer",Webcam: HD (Windows Hello compatible),"2.194 kg ( = 77.39 oz / 4.84 pounds), Power Supply: 694 g ( = 24.48 oz / 1.53 pounds)",,https://www.notebookcheck.net/Schenker-XMG-Neo-15-gaming-laptop-in-review-RTX-3080-with-165W-TGP-ensures-high-scores.546054.0.html
HP Pavilion 15-eg0025cl (Pavilion 15-eg Series),"Intel Core i7-1165G7 4 x 2.8 - 4.7 GHz, 51 W PL2 / Short Burst, 22 W PL1 / Sustained, Tiger Lake UP3","NVIDIA GeForce MX450 - 2048 MB, Core: 1275 MHz, Memory: 1751 MHz, 15 W TDP, GDDR5, 466.77, Optimus","16384 MB  , DDR4-3200, 15-15-15-35, Dual-Channel, 2x SODIMM","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, 10-point capacitive, Chi Mei CMN1523, IPS, glossy: yes, 60 Hz","Samsung PM991 MZVLQ1T0HALB, 1024 GB  ",height x width x depth (in mm): 17.9 x 360.2 x 234 ( = 0.7 x 14.18 x 9.21 in),41 Wh Lithium-Polymer,Webcam: 720pPrimary Camera: 0.9 MPix,"1.747 kg ( = 61.62 oz / 3.85 pounds), Power Supply: 304 g ( = 10.72 oz / 0.67 pounds)",1000 USD,https://www.notebookcheck.net/HP-Pavilion-15-2021-Laptop-Review-11th-Gen-Intel-and-GeForce-MX450-Combo.545218.0.html
Schenker Vision 14,"Intel Core i7-1165G7 4 x 2.8 - 4.7 GHz, 60 W PL2 / Short Burst, 30 W PL1 / Sustained, Tiger Lake UP3","Intel Iris Xe Graphics G7 96EUs, Core: 1300 MHz, Memory: 2000 MHz","16384 MB  , DDR4-3200, Dual-Channel, 2 Slots, max. 64 GB","14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, CSOT T3_MNE007ZA1_1, IPS, glossy: no, 90 Hz","Samsung SSD 980 Pro 1TB MZ-V8P1T0BW, 1024 GB  , 893 GB free",height x width x depth (in mm): 15.6 x 308.8 x 215 ( = 0.61 x 12.16 x 8.46 in),53 Wh Lithium-Polymer,Webcam: 720pPrimary Camera: 0.9 MPix,"1.028 kg ( = 36.26 oz / 2.27 pounds), Power Supply: 361 g ( = 12.73 oz / 0.8 pounds)",1650 Euro,https://www.notebookcheck.net/Schenker-Vision-14-Laptop-Review-Perfect-Ultrabook-with-1-kg-and-16-10-display.546055.0.html
