Product_name,Processor,Graphics adapter,Memory,Display,Storage,Size,Battery,Camera,Weight,Price,URL_link
ADATA XPG Xenia Xe,"Intel Core i7-1165G7 4 x 2.8 - 4.7 GHz, 50 W PL2 / Short Burst, 40 W PL1 / Sustained, Tiger Lake UP3","Intel Iris Xe Graphics G7 96EUs, Core: 1300 MHz, Memory: 1600 MHz, DDR4, 27.20.100.8729","16384 MB  , LPDDR4x-4266, soldered, 36-39-39-90, Dual-Channel","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, 10-point capacitive, native pen support, BOE08F5, IPS, 60 Hz","ADATA XPG Gammix S50 1TB, 1024 GB  ",height x width x depth (in mm): 14.9 x 355 x 230 ( = 0.59 x 13.98 x 9.06 in),73.41 Wh Lithium-Polymer,Webcam: 720p IRPrimary Camera: 0.9 MPix,"1.67 kg ( = 58.91 oz / 3.68 pounds), Power Supply: 264 g ( = 9.31 oz / 0.58 pounds)",1600 USD,https://www.notebookcheck.net/ADATA-XPG-Xenia-Xe-Review-The-Tiger-Lake-Laptop-Designed-By-Intel.539742.0.html
Lenovo ThinkPad X1 Carbon G9-20XXS00100 (ThinkPad X1 Carbon G9 Series),"Intel Core i7-1165G7 4 x 2.8 - 4.7 GHz, 36 W PL2 / Short Burst, 28 W PL1 / Sustained, Tiger Lake UP3",Intel Iris Xe Graphics G7 96EUs,"32768 MB  , LPDDR4X-4266, on-board, Dual-Channel","14.00 inch 16:10, 1920 x 1200 pixel 162 PPI, B140UAN02.1, IPS, glossy: no, 60 Hz","Samsung PM9A1 MZVL21T0HCLR, 1024 GB  , 953 GB free",height x width x depth (in mm): 14.9 x 314.5 x 221.5 ( = 0.59 x 12.38 x 8.72 in),57 Wh Lithium-Polymer,Webcam: 720p w/IR & ThinkShutterPrimary Camera: 0.9 MPix,"1.175 kg ( = 41.45 oz / 2.59 pounds), Power Supply: 321 g ( = 11.32 oz / 0.71 pounds)",1679 Euro,https://www.notebookcheck.net/Lenovo-ThinkPad-X1-Carbon-Gen-9-Review-Longer-battery-runtime-with-the-Full-HD-panel.540209.0.html
Lenovo V17-IIL 82GX008TGE,"Intel Core i3-1005G1 2 x 1.2 - 3.4 GHz, 51 W PL2 / Short Burst, 25 W PL1 / Sustained, Ice Lake U","Intel UHD Graphics G1 (Ice Lake 32 EU), Core: 900 MHz, dual-channel mode, 27.20.100.9466","8192 MB  , DDR4-3200, dual-channel mode, one memory slot (in use), 4 GB onboard, max. 36 GB","17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, AU Optronics B173HAN04.3, IPS, glossy: no, 60 Hz","Samsung PM991 MZALQ256HAJD, 256 GB  , M.2-2242, NVMe, 200 GB free",height x width x depth (in mm): 19.9 x 402 x 281.3 ( = 0.78 x 15.83 x 11.07 in),"42 Wh, 3735 mAh Lithium-Polymer",Webcam: VGAPrimary Camera: 0.3 MPix,"2.2 kg ( = 77.6 oz / 4.85 pounds), Power Supply: 220 g ( = 7.76 oz / 0.49 pounds)",599 Euro,https://www.notebookcheck.net/Lenovo-V17-IIL-review-A-quiet-home-office-laptop-with-a-good-display.539673.0.html
HP Spectre x360 13-aw2003dx (Spectre x360 13 Series),"Intel Core i5-1135G7 4 x 2.4 - 4.2 GHz, 51 W PL2 / Short Burst, 20 W PL1 / Sustained, Tiger Lake UP3","Intel Iris Xe Graphics G7 80EUs, Core: 2000 MHz, Memory: 1300 MHz, DDR4, 27.20.100.9079","8192 MB  , LPDDR4 2133 MHz, soldered, 36-39-39-40, Dual-Channel","13.30 inch 16:9, 3840 x 2160 pixel 331 PPI, 10-point capacitive, native pen support, Samsung SDC4149, OLED, glossy: yes, 60 Hz","Intel Optane Memory H10 with Solid State Storage 32GB + 512GB HBRPEKNX0202A(L/H), 512 GB  ",height x width x depth (in mm): 16.9 x 306.7 x 194.5 ( = 0.67 x 12.07 x 7.66 in),60 Wh Lithium-Polymer,Webcam: 720p IRPrimary Camera: 0.9 MPix,"1.223 kg ( = 43.14 oz / 2.7 pounds), Power Supply: 267 g ( = 9.42 oz / 0.59 pounds)",1300 USD,https://www.notebookcheck.net/HP-Spectre-x360-13-11th-Gen-Intel-Convertible-Review-Proof-That-OLED-Isn-t-Everything.539285.0.html
Microsoft Surface Laptop 4 13 i7 (Surface Laptop 4 Series),"Intel Core i7-1185G7 4 x 3 - 4.8 GHz, 50 W PL2 / Short Burst, 30 W PL1 / Sustained, Tiger Lake UP3","Intel Iris Xe Graphics G7 96EUs, Core: 1350 MHz, Memory: 2000 MHz","16384 MB  , LPDDR4x-4266, Dual-Channel, onboard","13.50 inch 3:2, 2256 x 1504 pixel 201 PPI, capacitive, LQ135P1JX51, IPS, glossy: yes, 60 Hz","Samsung PM991 MZ9LQ512HALU, 512 GB  , 426 GB free",height x width x depth (in mm): 14.5 x 308 x 223 ( = 0.57 x 12.13 x 8.78 in),47.4 Wh Lithium-Polymer,Webcam: 720p,"1.346 kg ( = 47.48 oz / 2.97 pounds), Power Supply: 306 g ( = 10.79 oz / 0.67 pounds)",1849 Euro,https://www.notebookcheck.net/Microsoft-Surface-Laptop-4-13-Laptop-Review-Too-expensive-with-Intel-CPU.539455.0.html
HP 255 G7 159P1EA,"AMD Ryzen 3 3200U 2 x 2.6 - 3.5 GHz, Zen+","AMD Radeon RX Vega 3, Core: 1200 MHz, single-channel mode, 27.20.1030.1 (Adrenalin 20.10.30)","8192 MB  , DDR4-2666, single-channel mode, two memory slots (one slot in use)","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, BOE0687, TN LED, glossy: no, 60 Hz","WDC PC SN530 SDBPNPZ-512G, 512 GB  , M.2-2280, NVMe, 437 GB free",height x width x depth (in mm): 22.5 x 376 x 246 ( = 0.89 x 14.8 x 9.69 in),"41 Wh, 3440 mAh Lithium-Ion, 3-cell",Webcam: HDPrimary Camera: 0.9 MPix,"1.78 kg ( = 62.79 oz / 3.92 pounds), Power Supply: 263 g ( = 9.28 oz / 0.58 pounds)",699 Euro,https://www.notebookcheck.net/HP-255-G7-in-review-Multiple-weaknesses-no-strengths.539142.0.html
Lenovo ThinkPad X1 Carbon G9-20XWCTO1WW (ThinkPad X1 Carbon G9 Series),"Intel Core i7-1165G7 4 x 2.8 - 4.7 GHz, 36 W PL2 / Short Burst, 28 W PL1 / Sustained, Tiger Lake UP3",Intel Iris Xe Graphics G7 96EUs,"32768 MB  , LPDDR4X-4266, on-board, Quad-Channel","14.00 inch 16:10, 3840 x 2400 pixel 323 PPI, MNE007A1-2, IPS LED, glossy: yes, HDR","Samsung PM9A1 MZVL21T0HCLR, 1024 GB  , M.2 2280, NVMe PCIe 4.0, 845 GB free",height x width x depth (in mm): 14.9 x 315 x 221.6 ( = 0.59 x 12.4 x 8.72 in),57 Wh Lithium-Polymer,Webcam: 720p w/IR & ThinkShutter,"1.156 kg ( = 40.78 oz / 2.55 pounds), Power Supply: 332 g ( = 11.71 oz / 0.73 pounds)",2520 Euro,https://www.notebookcheck.net/Lenovo-ThinkPad-X1-Carbon-Gen-9-Laptop-Review-Big-16-10-upgrade-with-Intel-Tiger-Lake.537905.0.html
HP ProBook 440 G8-2W1G4EA,"Intel Core i7-1165G7 4 x 2.8 - 4.7 GHz, 17 W PL2 / Short Burst, 14 W PL1 / Sustained, Tiger Lake UP3",Intel Iris Xe Graphics G7 96EUs,"16384 MB  , single-channel","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, AU Optronics AUO818B, VA, glossy: no","Lite-On CL1-8D512, 512 GB  , 450 GB free",height x width x depth (in mm): 19 x 322 x 214 ( = 0.75 x 12.68 x 8.43 in),45 Wh Lithium-Polymer,"Webcam: 0.9 MP, 16:9 (1280x720)","1.38 kg ( = 48.68 oz / 3.04 pounds), Power Supply: 283 g ( = 9.98 oz / 0.62 pounds)",1120 Euro,https://www.notebookcheck.net/HP-ProBook-440-G8-review-Robust-office-laptop-with-a-Tiger-Lake-CPU.537988.0.html
Lenovo ThinkPad T15 Gen2-20W5S00100 (ThinkPad T15 Series),"Intel Core i7-1165G7 4 x 2.8 - 4.7 GHz, 64 W PL2 / Short Burst, 35 W PL1 / Sustained, Tiger Lake UP3","NVIDIA GeForce MX450 - 2048 MB, Core: 930 MHz, Memory: 1250 MHz, NVIDIA 466.11, Intel Iris Xe Graphics G7 96 EUs","16384 MB  , Single-Channel","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, B156HAN02.1, IPS, glossy: no, 60 Hz","Samsung PM981a MZVLB1T0HBLR, 1024 GB  , 917 GB free",height x width x depth (in mm): 19.1 x 365.8 x 248 ( = 0.75 x 14.4 x 9.76 in),57 Wh Lithium-Polymer,"Webcam: 0.9 MP, 16:9 (1280x720)","1.9 kg ( = 67.02 oz / 4.19 pounds), Power Supply: 363 g ( = 12.8 oz / 0.8 pounds)",1350 Euro,https://www.notebookcheck.net/Lenovo-ThinkPad-T15-Gen2-laptop-in-review-Business-combined-with-media-GPU-and-Tiger-Lake.537474.0.html
Asus ZenBook 13 UM325S (ZenBook 13 UM325 Series),"AMD Ryzen 7 5800U 8 x 1.9 - 4.4 GHz, 30 W PL2 / Short Burst, 25 W PL1 / Sustained, Cezanne U (Zen 3)","AMD Radeon RX Vega 8 (Ryzen 5000), Adrenalin 20.40.32","16384 MB  , DDR4-3733, dual-channel, built-in","13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, Samsung (SDC4158), OLED, glossy: yes, 60 Hz","SK Hynix HFM001TD3JX013N, 1024 GB  , M.2 2280 NVMe, 950 GB free",height x width x depth (in mm): 13.9 x 304 x 203 ( = 0.55 x 11.97 x 7.99 in),"67 Wh, 4220 mAh Lithium-Ion",Webcam: 720pPrimary Camera: 0.9 MPixSecondary Camera: IR (Windows Hello),"1.158 kg ( = 40.85 oz / 2.55 pounds), Power Supply: 216 g ( = 7.62 oz / 0.48 pounds)",,https://www.notebookcheck.net/Asus-ZenBook-13-Review-A-compact-13-inch-laptop-with-a-fast-Ryzen-7-5800U-and-OLED-display.537640.0.html
Lenovo IdeaPad Flex 5 14ALC05 82HU002YUS (IdeaPad Flex 5 14 Series),"AMD Ryzen 7 5700U 8 x 1.8 - 4.3 GHz, Lucienne U (Zen 2)","AMD Radeon RX Vega 8 (Ryzen 4000) - 512 MB, Memory: 1333 MHz, DDR4, 27.20.14026.0","16384 MB  , DDR4, 1600 MHz, Dual-Channel, 22-22-22-52","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, 10-point capacitive, native pen support, Chi Mei N140HCA-E5B, IPS, CMN1406, glossy: yes, 60 Hz","WDC PC SN530 SDBPMPZ-265G, 256 GB  ",height x width x depth (in mm): 20.8 x 321.5 x 217.5 ( = 0.82 x 12.66 x 8.56 in),52 Wh Lithium-Polymer,Webcam: 720pPrimary Camera: 0.9 MPix,"1.555 kg ( = 54.85 oz / 3.43 pounds), Power Supply: 305 g ( = 10.76 oz / 0.67 pounds)",750 USD,https://www.notebookcheck.net/Lenovo-IdeaPad-Flex-5-14-Ryzen-7-Review-Fastest-14-inch-Convertible-In-The-Market.536565.0.html
Lenovo ThinkPad X1 Yoga G6-20Y0S00200,"Intel Core i7-1165G7 4 x 2.8 - 4.7 GHz, 48 W PL2 / Short Burst, 28 W PL1 / Sustained, Tiger Lake UP3",Intel Iris Xe Graphics G7 96EUs,"32768 MB  , LPDDR4X-4266, Dual-Channel, onBoard","14.00 inch 16:10, 1920 x 1200 pixel 162 PPI, capacitive, native pen support, LP140WU1-SPB1, IPS, glossy: no, 60 Hz","Samsung PM9A1 MZVL21T0HCLR, 1024 GB  , 917 GB free",height x width x depth (in mm): 15 x 314.4 x 223 ( = 0.59 x 12.38 x 8.78 in),57 Wh Lithium-Polymer,Webcam: 720pPrimary Camera: 0.9 MPix,"1.408 kg ( = 49.67 oz / 3.1 pounds), Power Supply: 321 g ( = 11.32 oz / 0.71 pounds)",1850 Euro,https://www.notebookcheck.net/ThinkPad-X1-Yoga-G6-Review-Lenovo-s-best-Business-Convertible.536304.0.html
Razer Blade 15 Advanced Model Early 2021 (Blade 15 Series),"Intel Core i7-10875H 8 x 2.3 - 5.1 GHz, 90 W PL2 / Short Burst, 65 W PL1 / Sustained, Comet Lake-H","NVIDIA GeForce RTX 3080 Laptop GPU - 8192 MB, Core: 1245 MHz, Memory: 1500 MHz, 95 W TDP, GDDR6, 27.21.14.6589 (Nvidia 465.89), Optimus","32768 MB  , DDR4-3200, dual-channel, two memory slots (both occupied), max. 64 GB","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, TL156VDXP02-0, IPS, glossy: no, 360 Hz","Samsung PM981a MZVLB1T0HBLR, 1024 GB  , 2 M.2-2280-Slots, 873 GB free",height x width x depth (in mm): 16.99 x 355 x 235 ( = 0.67 x 13.98 x 9.25 in),"80 Wh, 5209 mAh Lithium-Ion",Webcam: HDPrimary Camera: 0.9 MPix,"2.02 kg ( = 71.25 oz / 4.45 pounds), Power Supply: 660 g ( = 23.28 oz / 1.46 pounds)",3099 Euro,https://www.notebookcheck.net/Razer-Blade-15-Advanced-Early-2021-Review-Now-with-a-360-Hz-screen.536335.0.html
HP ZBook Firefly 15 G8 2C9R7EA (ZBook Firefly 15 G8 Series),"Intel Core i7-1165G7 4 x 2.8 - 4.7 GHz, 51 W PL2 / Short Burst, 25 W PL1 / Sustained, Tiger Lake UP3","NVIDIA T500 Laptop GPU - 4096 MB, Core: 1560 MHz, Memory: 1250 MHz, NVIDIA 452.69","32768 MB  , single-channel","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, LGD069B, IPS, glossy: no","Toshiba XG6 KXG60ZNV1T02, 1024 GB  , 888 GB free",height x width x depth (in mm): 19.2 x 359.5 x 233.6 ( = 0.76 x 14.15 x 9.2 in),56 Wh Lithium-Polymer,"Webcam: 0.9 MP, 16:9 (1280x720)","1.752 kg ( = 61.8 oz / 3.86 pounds), Power Supply: 308 g ( = 10.86 oz / 0.68 pounds)","2,100 Euro",https://www.notebookcheck.net/HP-ZBook-Firefly-15-G8-laptop-in-review-Quadro-T500-and-Tiger-Lake-in-a-15-inch-model.536107.0.html
Acer TravelMate Spin P4 TMP414RN-51-53J8 (TravelMate Spin P4 Series),"Intel Core i5-1135G7 4 x 2.4 - 4.2 GHz, 32 W PL2 / Short Burst, 15 W PL1 / Sustained, Tiger Lake UP3",Intel Iris Xe Graphics G7 80EUs,8192 MB  ,"14.00 inch 16:9, 1920 x 1080 pixel, Acer CineCrystal Multi-Touch, BOE081D, IPS, glossy: yes, 60 Hz","SK hynix BC511 HFM256GDJTNI-82A0, 256 GB  ",height x width x depth (in mm): 17.9 x 325 x 236 ( = 0.7 x 12.8 x 9.29 in),"56 Wh, 4683 mAh Lithium-Ion","Webcam: HD webcam, IR webcam",1.4 kg ( = 49.38 oz / 3.09 pounds) ( = 0 oz / 0 pounds),1227 Euro,https://www.notebookcheck.net/Acer-TravelMate-Spin-P4-laptop-review-business-model-with-Thunderbolt-4.535348.0.html
MSI Summit E13 Flip Evo A11MT,"Intel Core i7-1185G7 4 x 3 - 4.8 GHz, 64 W PL2 / Short Burst, 36 W PL1 / Sustained, Tiger Lake UP3","Intel Iris Xe Graphics G7 96EUs, Core: 1350 MHz, Memory: 1400 MHz, 27.20.100.8783","32768 MB  , LPDDR4X 2133 MHz, Dual-Channel, 22-20-20-45","13.40 inch 16:10, 1920 x 1200 pixel 169 PPI, 10-point capacitive, native pen support, Sharp LQ134N1JW53, IPS, glossy: yes, 120 Hz","Phison 1TB SM2801T24GKBB4S-E162, 1024 GB  ",height x width x depth (in mm): 14.9 x 300.2 x 222.25 ( = 0.59 x 11.82 x 8.75 in),70 Wh Lithium-Polymer,Webcam: 720pPrimary Camera: 0.9 MPix,"1.35 kg ( = 47.62 oz / 2.98 pounds), Power Supply: 282 g ( = 9.95 oz / 0.62 pounds)",1900 USD,https://www.notebookcheck.net/MSI-Summit-E13-Flip-Evo-Convertible-Review-A-Timeless-Design.535362.0.html
Huawei MateBook D 16-53011VFJ (MateBook D 16 Series),"AMD Ryzen 5 4600H 6 x 3 - 4 GHz, 57 W PL2 / Short Burst, 35 W PL1 / Sustained, Renoir (Zen 2)","AMD Radeon RX Vega 6 (Ryzen 4000/5000) - 512 MB, Core: 1500 MHz, Memory: 1600 MHz, AMD Radeon Vega","16384 MB  , DDR4-3200, dual-channel","16.10 inch 16:9, 1920 x 1080 pixel, N161HCA-EA3, IPS, CMN1604, glossy: no, 60 Hz","Samsung SSD PM981a MZVLB512HBJQ, 512 GB  , 400 GB free",height x width x depth (in mm): 18.4 x 369 x 234 ( = 0.72 x 14.53 x 9.21 in),56 Wh Lithium-Ion,Webcam: 720p,"1.722 kg ( = 60.74 oz / 3.8 pounds), Power Supply: 210 g ( = 7.41 oz / 0.46 pounds)",899 Euro,https://www.notebookcheck.net/Huawei-MateBook-D-16-in-review-A-lot-of-AMD-power-and-hardly-any-points-of-criticism.535961.0.html
Microsoft Surface Laptop 4 15 AMD TFF_00028 (Surface Laptop 4 Series),"AMD Ryzen 7 4980U 8 x 2 - 4.4 GHz, 44 W PL2 / Short Burst, 23 W PL1 / Sustained, Renoir (Zen 2)",AMD Radeon RX Vega 8 (Ryzen 4000),"16384 MB  , LPDDR4x-4266, quad-channel, soldered","15.00 inch 3:2, 2496 x 1664 pixel 170 PPI, capacitive, native pen support, SHP14B4, IPS, LQ150P1JX51, glossy: yes, 60 Hz","SK Hynix BC511 HFM512GDJTNI, 512 GB  , 423 GB free",height x width x depth (in mm): 14.7 x 339.5 x 244 ( = 0.58 x 13.37 x 9.61 in),47.4 Wh Lithium-Polymer,Webcam: 720pPrimary Camera: 0.9 MPix,"1.562 kg ( = 55.1 oz / 3.44 pounds), Power Supply: 306 g ( = 10.79 oz / 0.67 pounds)",1850 Euro,https://www.notebookcheck.net/Microsoft-Surface-Laptop-4-15-laptop-review-New-AMD-processor-and-more-endurance.535914.0.html
Lenovo IdeaPad 1 11ADA05 (IdeaPad 1 Series),"AMD Athlon Silver 3050e 2 x - 2.8 GHz, Zen","AMD Radeon RX Vega 3, Core: 1000 MHz, Single-Channel-Mode, 27.20.11044.4003 (Adrenalin 20.10.44.04","4096 MB  , DDR4-2400, Single-Channel-Mode, onboard, no memory slots","11.60 inch 16:9, 1366 x 768 pixel 135 PPI, Chi Mei N116BGE-EA2, TN LED, glossy: no, 60 Hz","64 GB eMMC Flash, 64 GB  , 33 GB free",height x width x depth (in mm): 19.9 x 288 x 200 ( = 0.78 x 11.34 x 7.87 in),"35 Wh, 4670 mAh Lithium-Ion",Webcam: VGAPrimary Camera: 0.3 MPix,"1.2 kg ( = 42.33 oz / 2.65 pounds), Power Supply: 173 g ( = 6.1 oz / 0.38 pounds)",299 Euro,https://www.notebookcheck.net/Lenovo-IdeaPad-1-11ADA05-in-the-review-Hand-held.535350.0.html
Schenker XMG Ultra 17 Rocket Lake,"Intel Core i9-11900K 8 x 3.5 - 5.3 GHz, 251 W PL2 / Short Burst, 130 W PL1 / Sustained, Rocket Lake, socketed CPU, free multiplicator","NVIDIA GeForce RTX 3080 Laptop GPU - 16384 MB, Core: 1710 MHz, Memory: 1750 MHz, 165 W TDP, GDDR6, 27.21.14.6589, no Optimus","65536 MB  , DDR4-3200, Dual-Channel-Mode, four memory slots (two slots in use), max 128 GB","17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, AU Optronics B173HAN05.1, IPS, G-Sync, glossy: no, 300 Hz","Samsung SSD 980 Pro 2TB MZ-V8P2T0, 2048 GB  , + three 8-TB-SSDs. Slots: 4x M.2 2280 (2x NVMe, 2x NVMe/SATA)",height x width x depth (in mm): 43.5 x 399 x 319 ( = 1.71 x 15.71 x 12.56 in),"97 Wh, 6700 mAh Lithium-Ion, removeable",Webcam: HDPrimary Camera: 0.9 MPix,"4.684 kg ( = 165.22 oz / 10.33 pounds), Power Supply: 1.736 kg ( = 61.24 oz / 3.83 pounds)",9000 Euro,https://www.notebookcheck.net/Schenker-XMG-Ultra-17-Clevo-X170KM-G-in-review-Massive-powerhouse-with-lush-equipment.534103.0.html
Lenovo ThinkPad L13 Yoga Gen2-20VK000VGE,"Intel Core i5-1135G7 4 x 2.4 - 4.2 GHz, 35 W PL2 / Short Burst, 15 W PL1 / Sustained, Tiger Lake UP3","Intel Iris Xe Graphics G7 80EUs, Core: 1300 MHz, Memory: 2000 MHz","8192 MB  , DDR4-3200, dual-channel, on-board","13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, capacitive, native pen support, N133HCE-EP2, IPS, glossy: yes, 60 Hz","WDC PC SN730 SDBPNTY-256G, 256 GB  , 201 GB free",height x width x depth (in mm): 17.6 x 311.5 x 219 ( = 0.69 x 12.26 x 8.62 in),"46 Wh, 2995 mAh Lithium-Polymer",Webcam: 720pPrimary Camera: 0.9 MPix,"1.45 kg ( = 51.15 oz / 3.2 pounds), Power Supply: 355 g ( = 12.52 oz / 0.78 pounds)",990 Euro,https://www.notebookcheck.net/Lenovo-ThinkPad-L13-Yoga-Gen-2-laptop-review-Business-convertible-now-with-Tiger-Lake.533938.0.html
Lenovo ThinkBook 15 Gen2 ITL (ThinkBook 15 Series),"Intel Core i5-1135G7 4 x 2.4 - 4.2 GHz, 51 W PL2 / Short Burst, 28 W PL1 / Sustained, Tiger Lake UP3",Intel Iris Xe Graphics G7 80EUs,"16384 MB  , dual channel","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, LG Philips LP156WFC-SPD7, IPS, glossy: no, 60 Hz","Samsung PM991 MZALQ512HALU, 512 GB  , 432 GB free",height x width x depth (in mm): 18.9 x 357 x 235 ( = 0.74 x 14.06 x 9.25 in),45 Wh Lithium-Ion,"Webcam: 0.9 MP, 16:9 (1280x720)","1.759 kg ( = 62.05 oz / 3.88 pounds), Power Supply: 355 g ( = 12.52 oz / 0.78 pounds)",719 Euro,https://www.notebookcheck.net/Lenovo-ThinkBook-15-Gen2-Laptop-review-Affordable-Tiger-Lake-laptop.533402.0.html
Alienware m17 R4 (m17 Series),"Intel Core i9-10980HK 8 x 2.4 - 5.3 GHz, 125 W PL2 / Short Burst, 90 W PL1 / Sustained, Comet Lake-H","NVIDIA GeForce RTX 3080 Laptop GPU - 16384 MB, Core: 1710 MHz, Memory: 1750 MHz, 165 W TDP, GDDR6, 461.92","32768 MB  , dual-channel DDR4, 2933 MHz","17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, AU Optronics AUOEC91, IPS, glossy: no, 360 Hz","2x Micron 2300 512 GB (RAID 0), 1024 GB  ",height x width x depth (in mm): 22 x 399.8 x 294.3 ( = 0.87 x 15.74 x 11.59 in),"86 Wh, 7167 mAh Lithium-Ion",Webcam: 720p webcamPrimary Camera: 0.92 MPix,"3 kg ( = 105.82 oz / 6.61 pounds), Power Supply: 1.3 kg ( = 45.86 oz / 2.87 pounds)","3,799 Euro",https://www.notebookcheck.net/Alienware-m17-R4-laptop-review-Burning-up-into-the-atmosphere.533137.0.html
MSI GP66 Leopard 10UG (GP66 Series),"Intel Core i7-10870H 8 x 2.2 - 5 GHz, 200 W PL2 / Short Burst, 90 W PL1 / Sustained, Comet Lake-H","NVIDIA GeForce RTX 3070 Laptop GPU - 8192 MB, Core: 1620 MHz, Memory: 1750 MHz, 130 W TDP, GDDR6, 466.11, Manual","32768 MB  , SK Hynix DDR4-3200, 22-22-22-52, Dual-Channel","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, Sharp LQ156M1JW03, IPS, glossy: no, 240 Hz","Kingston OM8PCP31024F, 1024 GB  ",height x width x depth (in mm): 23.4 x 358 x 267 ( = 0.92 x 14.09 x 10.51 in),"65 Wh Lithium-Polymer, 4-cell",Webcam: HD 720pPrimary Camera: 0.9 MPix,"2.315 kg ( = 81.66 oz / 5.1 pounds), Power Supply: 879 g ( = 31.01 oz / 1.94 pounds)",3000 USD,https://www.notebookcheck.net/MSI-GP66-Leopard-10UG-Laptop-Review-A-Complete-Series-Overhaul.532758.0.html
Lenovo ThinkPad X12 20UVS03G00,"Intel Core i7-1160G7 4 x 2.1 - 4.4 GHz, 40 W PL2 / Short Burst, 12 W PL1 / Sustained, Tiger Lake UP4",Intel Iris Xe Graphics G7 96EUs,"16384 MB  , LPDDR4X-4266, on-board, Quad Channel","12.30 inch 3:2, 1920 x 1280 pixel 187 PPI, 10 Point Multitouch, native pen support, N123NCA-GS1, a-Si IPS LED, glossy: yes, detachable screen, 60 Hz","Toshiba BG4 KBG40ZNT512G, 512 GB  , M.2 2242, NVMe PCIe 3, 431 GB free",height x width x depth (in mm): 14.5 x 283.3 x 203.5 ( = 0.57 x 11.15 x 8.01 in),42 Wh Lithium-Polymer,,"1.107 kg ( = 39.05 oz / 2.44 pounds), Power Supply: 322 g ( = 11.36 oz / 0.71 pounds)",1630 Euro,https://www.notebookcheck.net/Lenovo-ThinkPad-X12-Detachable-Gen-1-Review-Laptop-tablet-hybrid-with-LTE-Tiger-Lake-UP4.532888.0.html
HP ZBook Fury 17 G7 119W5EA,"Intel Core i9-10885H 8 x 2.4 GHz, 125 W PL2 / Short Burst, 74 W PL1 / Sustained, Comet Lake-H","NVIDIA Quadro RTX 4000 Max-Q - 8192 MB, Core: 1560 MHz, Memory: 1500 MHz, 80 W TDP, GDDR6","32768 MB  , DDR4","17.30 inch 16:9, 3840 x 2160 pixel 255 PPI, AUOCD8C, glossy: no, 60 Hz","WDC PC SN730 SDBPNTY-1T00, 1024 GB  , 891 GB free",height x width x depth (in mm): 26.9 x 398.4 x 267.1 ( = 1.06 x 15.69 x 10.52 in),"94 Wh, HP Long Life Li-Ion-Polymer battery",Webcam: 720pPrimary Camera: 0.9 MPix HD IR camera,"2.922 kg ( = 103.07 oz / 6.44 pounds), Power Supply: 637 g ( = 22.47 oz / 1.4 pounds)",4800 Euro,https://www.notebookcheck.net/HP-ZBook-Fury-17-G7-review-A-lot-of-power-and-a-great-4K-display-in-a-more-compact-package.532438.0.html
